City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
16,Biltine,TD,83.64,few clouds,14.5333,20.9167,Hôtel Trois Étoiles de Biltine
31,Alofi,NU,82.4,scattered clouds,-19.0595,-169.9187,Taloa Heights
36,Avarua,CK,82.4,broken clouds,-21.2078,-159.775,Paradise Inn
38,Takoradi,GH,80.29,light rain,4.8845,-1.7554,Raybow International Hotel
54,Nhulunbuy,AU,84.2,scattered clouds,-12.2333,136.7667,East Arnhem Real Estate
64,Butaritari,KI,81.64,light rain,3.0707,172.7902,Isles Sunset Lodge
66,Hithadhoo,MV,82.72,few clouds,-0.6,73.0833,Scoop Guest House
79,Itarema,BR,80.74,overcast clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
82,Benguela,AO,80.91,broken clouds,-12.5763,13.4055,Hotel Praia Morena
84,Trat,TH,82.99,scattered clouds,12.5,102.5,สวนหนิง-อัศ
87,Atuona,PF,81.1,clear sky,-9.8,-139.0333,Villa Enata
91,Cabo San Lucas,MX,84.2,clear sky,22.8909,-109.9124,Hotel Tesoro Los Cabos
96,Puerto Colombia,CO,80.6,scattered clouds,10.9878,-74.9547,Hotel El Emigrante
99,Tecoanapa,MX,82.8,clear sky,16.5167,-98.75,Hotel Manglares
108,Faanui,PF,81.84,few clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
114,Bocana De Paiwas,NI,84.4,broken clouds,12.7857,-85.1227,Guapinol Cabaña Monge
145,Bathsheba,BB,80.6,few clouds,13.2167,-59.5167,Atlantis Hotel
147,Manokwari,ID,82.4,overcast clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
153,Ternate,ID,82.13,overcast clouds,0.8,127.4,Grand Dafam Bela Ternate
158,Acarau,BR,80.82,overcast clouds,-2.8856,-40.12,castelo pizzaria
162,Dingle,PH,80.42,broken clouds,10.9995,122.6711,SEGAYA PROPERTY
165,Lubao,PH,80.6,broken clouds,14.9167,120.55,Hacienda Gracia
173,Denpasar,ID,80.6,few clouds,-8.65,115.2167,ASTON Denpasar Hotel & Convention Center
174,Lafiagi,NG,83.55,broken clouds,8.8667,5.4167,Bus group international
182,Aquidauana,BR,81.52,scattered clouds,-20.4711,-55.7872,HOTEL ARARAS
184,Riohacha,CO,80.35,overcast clouds,11.5444,-72.9072,Hotel Taroa
187,Makakilo City,US,80.6,few clouds,21.3469,-158.0858,Marriott's Ko Olina Beach Club
188,Yazoo City,US,80.6,clear sky,32.8551,-90.4056,Hampton Inn Yazoo City
191,Acapulco,MX,84.2,scattered clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
192,Sabang,ID,81.99,scattered clouds,5.8933,95.3214,Hotel Citra
196,Georgetown,MY,80.01,few clouds,5.4112,100.3354,Cititel Penang
229,Kavieng,PG,80.35,moderate rain,-2.5744,150.7967,Nusa Island Retreat
232,Gizo,SB,82.11,moderate rain,-8.103,156.8419,Imagination Island
234,Floriano,BR,82.31,overcast clouds,-6.7669,-43.0225,Hotel Maktub
249,Hobyo,SO,80.65,few clouds,5.3505,48.5268,Halane Hotel and Restaurent
254,Santa Fe,AR,82.0,overcast clouds,-31.6333,-60.7,Conquistador Hotel
273,Porto Novo,BJ,84.2,scattered clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
280,Monywa,MM,83.95,scattered clouds,22.1167,95.1333,Monywa Hotel
302,Neiafu,TO,82.4,scattered clouds,-18.65,-173.9833,Mystic Sands
310,Banjar,ID,80.6,few clouds,-8.19,114.9675,The Hamsa Resort
313,Manggar,ID,81.03,overcast clouds,-2.8833,108.2667,Guest Hotel
317,Bonthe,SL,80.55,scattered clouds,7.5264,-12.505,Bonthe Holiday Village
328,Kloulklubed,PW,82.4,broken clouds,7.0419,134.2556,Storyboard Beach Resort
335,Alibag,IN,80.6,haze,18.6411,72.8792,"Radisson Blu Resort & Spa - Alibaug, India"
343,Kirakira,SB,81.0,overcast clouds,-10.4544,161.9205,SanBiz Lodge
346,Hervey Bay,AU,82.99,scattered clouds,-25.2986,152.8535,Shelly Bay Resort
348,Riyadh,SA,80.6,clear sky,24.6877,46.7219,InterContinental Riyadh
368,Katherine,AU,84.2,broken clouds,-14.4667,132.2667,Pine Tree Motel
374,Blackwater,AU,83.53,scattered clouds,-23.5833,148.8833,Blackwater Motor Inn
376,Ransang,PH,80.53,overcast clouds,8.9603,117.5828,Black and Crystal Sand Campsite
379,Buraydah,SA,84.2,scattered clouds,26.326,43.975,فندق راحة السلام
382,Vaitape,PF,81.86,few clouds,-16.5167,-151.75,Conrad Bora Bora Nui
404,Lucea,JM,82.0,broken clouds,18.451,-78.1736,Grand Palladium Jamaica Resort & Spa
418,Kavaratti,IN,82.83,scattered clouds,10.5669,72.642,Hotels in Lakshadweep Islands
431,Loandjili,CG,82.4,scattered clouds,-4.7561,11.8578,Résidence ARCHANGE
439,Mitsamiouli,KM,81.55,few clouds,-11.3847,43.2844,Foyer ADM
443,Port Hedland,AU,82.4,scattered clouds,-20.3167,118.5667,The Esplanade Hotel
444,George Town,MY,80.01,few clouds,5.4112,100.3354,Cititel Penang
465,Dehloran,IR,81.1,overcast clouds,32.6941,47.2679,کافه گیم استورم
470,Samarai,PG,81.75,overcast clouds,-10.6167,150.6667,Nuli Sapi
471,Olinda,BR,80.6,scattered clouds,-8.0089,-34.8553,Hotel Albergue de Olinda
487,Noumea,NC,82.4,light rain,-22.2763,166.4572,Hôtel Le Lagon
495,Puerto Narino,CO,82.4,broken clouds,-3.7703,-70.3831,Eware Refugio Amazonico
497,Atar,MR,80.15,clear sky,20.5169,-13.0499,Oumou Elghoura
499,Zaraza,VE,80.85,overcast clouds,9.3503,-65.3245,Hotel Zaraza
500,Axim,GH,80.01,overcast clouds,4.8699,-2.2405,AXIM BEACH RESORT AND SPA
504,Pangai,TO,82.4,few clouds,-19.8,-174.35,Ha'apai Beach Resort
515,Kieta,PG,80.62,moderate rain,-6.2167,155.6333,Uruna Bay Retreat
518,Salina Cruz,MX,83.73,clear sky,16.1667,-95.2,Amerik HOTEL
531,Kununurra,AU,84.2,broken clouds,-15.7667,128.7333,Hotel Kununurra
533,Bacolod,PH,82.6,overcast clouds,10.6667,122.95,Planta Hotel & Residences
537,Kupang,ID,80.06,broken clouds,-10.1667,123.5833,Hotel On The Rock by Prasanthi
546,Trairi,BR,80.6,broken clouds,-3.2778,-39.2689,janelas do mar
553,Cape Coast,GH,80.78,light rain,5.1053,-1.2466,Samrit Hotel
557,Manavalakurichi,IN,82.4,mist,8.1333,77.3,Udaya Boys Hostel
565,Mandera,KE,81.27,scattered clouds,3.9366,41.867,Kornesh Hotel and Lodging
566,Saint George,US,82.0,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
567,Ramanathapuram,IN,80.98,scattered clouds,9.3833,78.8333,Golden Residency
602,Remanso,BR,80.89,broken clouds,-9.6179,-42.0831,Hotel Mangueira
605,Lorengau,PG,83.53,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
622,Vanimo,PG,82.65,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
623,Safford,US,84.2,clear sky,32.834,-109.7076,SpringHill Suites by Marriott Thatcher
635,Catumbela,AO,80.78,broken clouds,-12.4314,13.5472,Hotel Do Kamgamba
636,West Bay,KY,82.4,scattered clouds,19.3667,-81.4167,Calypso Cove
643,Sola,VU,83.25,overcast clouds,-13.8833,167.55,Leumerus Bungalows
645,Tomatlan,MX,81.88,broken clouds,19.9333,-105.25,Norma franco
647,Porto Velho,BR,80.6,light rain,-8.7619,-63.9039,Hotel Central
649,Fare,PF,81.97,clear sky,-16.7,-151.0167,Maitai Lapita Village Huahine
652,Khao Yoi,TH,82.0,overcast clouds,13.2403,99.8243,เปิ้ล ทำเบาะ
662,Karratha,AU,83.73,overcast clouds,-20.7377,116.8463,ibis Styles Karratha
